symbol,cap_tier,cap_source,adv_cr,dlv_adv_cr
ABB,LARGE,nse_index,172.6,72.53
ADANIENSOL,LARGE,nse_index,439.4,255.96
ADANIENT,LARGE,nse_index,455.9,214.51
ADANIGREEN,LARGE,nse_index,206.8,75.11
ADANIPORTS,LARGE,nse_index,391.6,229.19
ADANIPOWER,LARGE,nse_index,373.6,150.76
AMBUJACEM,LARGE,nse_index,90.4,45.56
APOLLOHOSP,LARGE,nse_index,295.5,174.14
ASIANPAINT,LARGE,nse_index,197.7,103.38
DMART,LARGE,nse_index,193.1,102.02
AXISBANK,LARGE,nse_index,644.7,412.0
BAJAJ-AUTO,LARGE,nse_index,274.6,150.42
BAJFINANCE,LARGE,nse_index,761.7,475.3
BAJAJFINSV,LARGE,nse_index,193.3,108.57
BAJAJHLDNG,LARGE,nse_index,50.2,28.43
BANKBARODA,LARGE,nse_index,184.6,97.02
BEL,LARGE,nse_index,450.6,258.0
BPCL,LARGE,nse_index,154.1,85.92
BHARTIARTL,LARGE,nse_index,1180.4,808.43
BOSCHLTD,LARGE,nse_index,173.7,71.85
BRITANNIA,LARGE,nse_index,156.4,84.91
CGPOWER,LARGE,nse_index,259.0,113.82
CANBK,LARGE,nse_index,191.8,88.17
CHOLAFIN,LARGE,nse_index,262.4,150.22
CIPLA,LARGE,nse_index,136.7,73.95
COALINDIA,LARGE,nse_index,368.4,219.73
CUMMINSIND,LARGE,nse_index,226.5,134.08
DLF,LARGE,nse_index,228.4,115.93
DIVISLAB,LARGE,nse_index,454.0,263.55
DRREDDY,LARGE,nse_index,190.1,108.27
EICHERMOT,LARGE,nse_index,342.2,196.34
ETERNAL,LARGE,nse_index,978.7,599.36
GAIL,LARGE,nse_index,155.1,89.93
GODREJCP,LARGE,nse_index,168.0,91.28
GRASIM,LARGE,nse_index,300.6,173.04
HCLTECH,LARGE,nse_index,311.9,157.38
HDFCAMC,LARGE,nse_index,176.6,109.54
HDFCBANK,LARGE,nse_index,2074.8,1286.25
HDFCLIFE,LARGE,nse_index,207.0,113.89
HINDALCO,LARGE,nse_index,409.7,224.54
HAL,LARGE,nse_index,448.1,202.36
HINDUNILVR,LARGE,nse_index,307.3,182.07
HINDZINC,LARGE,nse_index,336.4,138.91
HYUNDAI,LARGE,nse_index,169.4,78.85
ICICIBANK,LARGE,nse_index,1361.6,835.4
ITC,LARGE,nse_index,385.5,217.4
INDHOTEL,LARGE,nse_index,119.1,68.93
IOC,LARGE,nse_index,112.8,62.02
IRFC,LARGE,nse_index,63.0,25.04
INFY,LARGE,nse_index,1174.2,659.27
INDIGO,LARGE,nse_index,330.6,172.44
JSWSTEEL,LARGE,nse_index,195.9,109.75
JINDALSTEL,LARGE,nse_index,93.2,41.36
JIOFIN,LARGE,nse_index,349.8,160.99
KOTAKBANK,LARGE,nse_index,466.6,317.49
LTM,LARGE,nse_index,197.5,73.85
LT,LARGE,nse_index,590.9,338.16
LODHA,LARGE,nse_index,236.7,99.87
M&M,LARGE,nse_index,694.5,421.85
MARUTI,LARGE,nse_index,497.3,274.3
MAXHEALTH,LARGE,nse_index,193.0,106.02
MAZDOCK,LARGE,nse_index,191.4,60.79
MUTHOOTFIN,LARGE,nse_index,302.4,136.71
NTPC,LARGE,nse_index,284.1,171.64
NESTLEIND,LARGE,nse_index,253.0,155.56
ONGC,LARGE,nse_index,271.1,153.66
PIDILITIND,LARGE,nse_index,144.5,85.4
PFC,LARGE,nse_index,315.6,199.67
POWERGRID,LARGE,nse_index,239.9,144.95
PNB,LARGE,nse_index,147.7,68.45
RECLTD,LARGE,nse_index,179.4,100.37
RELIANCE,LARGE,nse_index,1408.6,871.56
SBILIFE,LARGE,nse_index,171.0,105.01
MOTHERSON,LARGE,nse_index,257.7,122.16
SHREECEM,LARGE,nse_index,59.4,31.03
SHRIRAMFIN,LARGE,nse_index,479.2,282.95
ENRIN,LARGE,nse_index,197.4,72.52
SIEMENS,LARGE,nse_index,142.8,54.61
SOLARINDS,LARGE,nse_index,379.3,129.84
SBIN,LARGE,nse_index,904.3,482.74
SUNPHARMA,LARGE,nse_index,364.2,239.82
TVSMOTOR,LARGE,nse_index,424.8,253.28
TATACAP,LARGE,nse_index,61.3,29.21
TCS,LARGE,nse_index,737.2,363.62
TATACONSUM,LARGE,nse_index,134.1,79.73
TMCV,LARGE,nse_index,357.3,184.26
TMPV,LARGE,nse_index,296.9,144.45
TATAPOWER,LARGE,nse_index,156.5,74.19
TATASTEEL,LARGE,nse_index,473.6,246.46
TECHM,LARGE,nse_index,369.0,218.23
TITAN,LARGE,nse_index,365.3,203.03
TORNTPHARM,LARGE,nse_index,198.9,124.02
TRENT,LARGE,nse_index,247.2,115.74
ULTRACEMCO,LARGE,nse_index,286.9,171.5
UNIONBANK,LARGE,nse_index,173.9,84.13
UNITDSPR,LARGE,nse_index,100.1,56.63
VBL,LARGE,nse_index,289.1,154.67
VEDL,LARGE,nse_index,282.6,137.62
WIPRO,LARGE,nse_index,204.3,98.02
ZYDUSLIFE,LARGE,nse_index,164.8,80.18
360ONE,MID,nse_index,103.0,54.59
3MINDIA,MID,nse_index,13.4,4.92
ACC,MID,nse_index,20.3,9.47
AIAENG,MID,nse_index,25.5,14.63
APLAPOLLO,MID,nse_index,142.6,74.62
AUBANK,MID,nse_index,164.8,90.19
AWL,MID,nse_index,53.6,24.65
ABBOTINDIA,MID,nse_index,23.0,13.25
ATGL,MID,nse_index,112.7,17.29
ABCAPITAL,MID,nse_index,131.2,62.98
AJANTPHARM,MID,nse_index,31.8,15.56
ALKEM,MID,nse_index,73.3,40.13
ANTHEM,MID,nse_index,73.2,41.3
APARINDS,MID,nse_index,272.4,104.0
APOLLOTYRE,MID,nse_index,35.8,16.24
ASHOKLEY,MID,nse_index,264.0,122.31
ASTRAL,MID,nse_index,154.7,74.1
AUROPHARMA,MID,nse_index,145.1,72.35
AIIL,MID,nse_index,29.3,8.81
BSE,MID,nse_index,1399.2,577.26
BAJAJHFL,MID,nse_index,25.4,13.48
BALKRISIND,MID,nse_index,142.9,71.81
BANKINDIA,MID,nse_index,85.7,39.72
MAHABANK,MID,nse_index,114.7,53.14
BERGEPAINT,MID,nse_index,21.8,10.78
BDL,MID,nse_index,181.4,55.13
BHARATFORG,MID,nse_index,218.9,114.4
BHEL,MID,nse_index,302.6,123.66
BHARTIHEXA,MID,nse_index,19.8,10.03
GROWW,MID,nse_index,719.2,417.55
BIOCON,MID,nse_index,135.0,67.96
BLUESTARCO,MID,nse_index,86.8,39.19
CRISIL,MID,nse_index,23.7,13.36
COCHINSHIP,MID,nse_index,155.4,56.17
COFORGE,MID,nse_index,512.7,235.24
COLPAL,MID,nse_index,83.3,42.34
CONCOR,MID,nse_index,92.2,41.08
COROMANDEL,MID,nse_index,25.4,15.58
DABUR,MID,nse_index,83.2,46.09
DALBHARAT,MID,nse_index,40.6,21.09
DIXON,MID,nse_index,495.0,189.92
ENDURANCE,MID,nse_index,36.7,20.77
ESCORTS,MID,nse_index,28.8,13.76
EXIDEIND,MID,nse_index,178.2,81.3
NYKAA,MID,nse_index,173.0,94.39
FEDERALBNK,MID,nse_index,174.4,104.96
FORTIS,MID,nse_index,115.6,63.29
GVT&D,MID,nse_index,421.4,199.67
GMRAIRPORT,MID,nse_index,117.5,70.05
GICRE,MID,nse_index,28.3,15.07
GLAXO,MID,nse_index,34.9,17.66
GLENMARK,MID,nse_index,118.3,56.96
MEDANTA,MID,nse_index,40.2,21.25
GODFRYPHLP,MID,nse_index,82.9,23.39
GODREJIND,MID,nse_index,13.7,4.79
GODREJPROP,MID,nse_index,127.3,52.46
FLUOROCHEM,MID,nse_index,82.4,35.46
HDBFS,MID,nse_index,39.7,27.56
HAVELLS,MID,nse_index,102.6,60.0
HEROMOTOCO,MID,nse_index,347.2,181.29
HEXT,MID,nse_index,36.0,9.98
HINDPETRO,MID,nse_index,188.8,105.04
POWERINDIA,MID,nse_index,368.9,130.26
HONAUT,MID,nse_index,17.6,7.56
HUDCO,MID,nse_index,35.5,16.59
ICICIGI,MID,nse_index,147.1,86.9
ICICIAMC,MID,nse_index,144.2,83.44
ICICIPRULI,MID,nse_index,75.6,43.2
IDFCFIRSTB,MID,nse_index,180.2,90.34
ITCHOTELS,MID,nse_index,27.6,15.13
INDIANB,MID,nse_index,100.0,47.85
IRCTC,MID,nse_index,39.7,20.16
IREDA,MID,nse_index,53.2,18.62
INDUSTOWER,MID,nse_index,180.0,100.37
INDUSINDBK,MID,nse_index,158.1,85.68
NAUKRI,MID,nse_index,220.8,115.21
IPCALAB,MID,nse_index,82.4,30.26
JKCEMENT,MID,nse_index,19.4,10.28
JSWENERGY,MID,nse_index,96.6,51.55
JSWINFRA,MID,nse_index,124.7,71.23
JSL,MID,nse_index,58.1,31.28
JUBLFOOD,MID,nse_index,112.6,45.3
KPRMILL,MID,nse_index,28.3,11.72
KEI,MID,nse_index,282.9,121.31
KPITTECH,MID,nse_index,184.7,51.5
KALYANKJIL,MID,nse_index,756.1,156.1
LTF,MID,nse_index,160.7,69.77
LTTS,MID,nse_index,31.5,15.13
LGEINDIA,MID,nse_index,121.1,64.81
LICHSGFIN,MID,nse_index,155.6,76.71
LAURUSLABS,MID,nse_index,523.7,306.59
LENSKART,MID,nse_index,669.1,401.21
LICI,MID,nse_index,507.7,302.86
LINDEINDIA,MID,nse_index,15.9,8.38
LLOYDSME,MID,nse_index,92.5,47.99
LUPIN,MID,nse_index,204.7,121.29
MRF,MID,nse_index,52.6,25.79
M&MFIN,MID,nse_index,96.7,51.07
MANKIND,MID,nse_index,101.0,54.96
MARICO,MID,nse_index,144.5,87.86
MFSL,MID,nse_index,149.5,78.96
MOTILALOFS,MID,nse_index,125.0,41.92
MPHASIS,MID,nse_index,121.5,56.54
MCX,MID,nse_index,705.2,289.68
NHPC,MID,nse_index,74.7,37.32
NLCINDIA,MID,nse_index,50.1,25.56
NMDC,MID,nse_index,132.9,66.18
NTPCGREEN,MID,nse_index,28.7,13.83
NATIONALUM,MID,nse_index,244.0,104.03
NAM-INDIA,MID,nse_index,137.1,78.41
OBEROIRLTY,MID,nse_index,83.7,39.49
OIL,MID,nse_index,126.2,53.71
PAYTM,MID,nse_index,744.9,309.18
OFSS,MID,nse_index,280.4,108.11
POLICYBZR,MID,nse_index,399.4,190.69
PIIND,MID,nse_index,69.9,30.8
PAGEIND,MID,nse_index,98.3,44.67
PATANJALI,MID,nse_index,172.1,49.21
PERSISTENT,MID,nse_index,293.2,111.3
PETRONET,MID,nse_index,49.1,29.27
PHOENIXLTD,MID,nse_index,91.5,49.62
POLYCAB,MID,nse_index,283.7,145.39
PREMIERENE,MID,nse_index,108.0,45.72
PRESTIGE,MID,nse_index,82.8,39.95
RADICO,MID,nse_index,157.9,81.09
RVNL,MID,nse_index,99.4,32.4
SBICARD,MID,nse_index,148.0,90.99
SJVN,MID,nse_index,12.4,5.9
SRF,MID,nse_index,75.2,40.18
SCHAEFFLER,MID,nse_index,24.3,15.66
SAIL,MID,nse_index,378.4,151.34
SUNDARMFIN,MID,nse_index,25.3,14.81
SUPREMEIND,MID,nse_index,67.4,30.69
SUZLON,MID,nse_index,261.9,108.23
SWIGGY,MID,nse_index,660.8,322.04
TATACOMM,MID,nse_index,43.8,24.42
TATAELXSI,MID,nse_index,93.7,34.36
TATAINVEST,MID,nse_index,88.4,11.99
NIACL,MID,nse_index,155.3,19.39
THERMAX,MID,nse_index,95.3,40.15
TORNTPOWER,MID,nse_index,47.4,23.75
TIINDIA,MID,nse_index,96.7,38.38
UNOMINDA,MID,nse_index,91.8,47.69
UPL,MID,nse_index,120.5,67.07
UBL,MID,nse_index,17.0,9.47
VMM,MID,nse_index,142.8,63.02
IDEA,MID,nse_index,603.3,170.16
VOLTAS,MID,nse_index,97.3,41.49
WAAREEENER,MID,nse_index,176.2,70.94
YESBANK,MID,nse_index,133.5,63.85
ACMESOLAR,SMALL,nse_index,101.8,45.98
AADHARHFC,SMALL,nse_index,16.7,9.99
AARTIIND,SMALL,nse_index,59.3,21.25
AAVAS,SMALL,nse_index,13.2,7.11
ACE,SMALL,nse_index,48.5,19.74
ACUTAAS,SMALL,nse_index,113.4,53.91
ABFRL,SMALL,nse_index,32.8,15.04
ABLBL,SMALL,nse_index,7.5,4.76
ABREL,SMALL,nse_index,24.6,10.75
ABSLAMC,SMALL,nse_index,22.2,12.52
CPPLUS,SMALL,nse_index,93.6,54.16
AEGISLOG,SMALL,nse_index,136.9,43.77
AEGISVOPAK,SMALL,nse_index,42.3,15.1
AFCONS,SMALL,nse_index,51.7,15.94
AFFLE,SMALL,nse_index,65.7,21.02
ABDL,SMALL,nse_index,43.0,15.41
ARE&M,SMALL,nse_index,78.1,29.29
AMBER,SMALL,nse_index,170.7,60.79
ANANDRATHI,SMALL,nse_index,51.5,28.45
ANANTRAJ,SMALL,nse_index,151.1,53.57
ANGELONE,SMALL,nse_index,159.2,59.59
ANURAS,SMALL,nse_index,49.8,29.19
APTUS,SMALL,nse_index,35.6,20.97
ASAHIINDIA,SMALL,nse_index,17.4,7.26
ASTERDM,SMALL,nse_index,241.7,173.21
ATHERENERG,SMALL,nse_index,726.4,210.94
ATUL,SMALL,nse_index,35.1,17.14
BEML,SMALL,nse_index,89.0,27.66
BLS,SMALL,nse_index,54.0,17.95
BALRAMCHIN,SMALL,nse_index,280.6,39.57
BANDHANBNK,SMALL,nse_index,188.8,83.43
BATAINDIA,SMALL,nse_index,29.9,11.46
BAYERCROP,SMALL,nse_index,9.4,5.72
BELRISE,SMALL,nse_index,97.5,46.43
BIKAJI,SMALL,nse_index,14.5,5.12
BSOFT,SMALL,nse_index,49.9,18.74
BLUEDART,SMALL,nse_index,14.4,4.44
BLUEJET,SMALL,nse_index,46.3,20.99
BBTC,SMALL,nse_index,68.1,5.26
FIRSTCRY,SMALL,nse_index,67.9,16.45
BRIGADE,SMALL,nse_index,38.0,13.29
MAPMYINDIA,SMALL,nse_index,27.1,8.28
CCL,SMALL,nse_index,18.2,9.72
CESC,SMALL,nse_index,25.8,12.94
CIEINDIA,SMALL,nse_index,15.0,9.08
CANFINHOME,SMALL,nse_index,18.8,11.57
CANHLIFE,SMALL,nse_index,14.4,7.35
CAPLIPOINT,SMALL,nse_index,56.0,14.97
CGCL,SMALL,nse_index,138.8,43.15
CARBORUNIV,SMALL,nse_index,46.4,14.61
CARTRADE,SMALL,nse_index,151.2,42.88
CASTROLIND,SMALL,nse_index,57.9,34.36
CEATLTD,SMALL,nse_index,24.6,11.22
CEMPRO,SMALL,nse_index,51.3,26.59
CENTRALBK,SMALL,nse_index,19.7,10.62
CDSL,SMALL,nse_index,167.4,63.75
CHALET,SMALL,nse_index,15.0,6.64
CHAMBLFERT,SMALL,nse_index,22.5,12.02
CHENNPETRO,SMALL,nse_index,306.1,68.95
CHOICEIN,SMALL,nse_index,34.7,9.84
CHOLAHLDNG,SMALL,nse_index,28.1,16.8
CUB,SMALL,nse_index,70.2,32.04
CLEAN,SMALL,nse_index,35.6,14.3
COHANCE,SMALL,nse_index,55.5,19.52
CAMS,SMALL,nse_index,96.0,45.26
CONCORDBIO,SMALL,nse_index,27.2,11.39
CRAFTSMAN,SMALL,nse_index,66.5,31.0
CREDITACC,SMALL,nse_index,48.5,22.38
CROMPTON,SMALL,nse_index,86.5,39.7
CYIENT,SMALL,nse_index,107.2,36.4
DCMSHRIRAM,SMALL,nse_index,15.3,4.98
DOMS,SMALL,nse_index,9.4,5.09
DATAPATTNS,SMALL,nse_index,361.9,84.84
DEEPAKFERT,SMALL,nse_index,53.6,19.73
DEEPAKNTR,SMALL,nse_index,69.2,32.33
DELHIVERY,SMALL,nse_index,131.2,70.17
DEVYANI,SMALL,nse_index,68.8,22.3
LALPATHLAB,SMALL,nse_index,72.2,34.26
EIDPARRY,SMALL,nse_index,46.2,18.83
EIHOTEL,SMALL,nse_index,7.6,4.11
ELECON,SMALL,nse_index,56.6,9.64
ELGIEQUIP,SMALL,nse_index,34.9,13.72
EMAMILTD,SMALL,nse_index,60.5,31.8
EMCURE,SMALL,nse_index,34.1,19.27
EMMVEE,SMALL,nse_index,70.7,28.03
ENGINERSIN,SMALL,nse_index,142.1,39.3
ERIS,SMALL,nse_index,10.7,6.12
FACT,SMALL,nse_index,82.9,5.33
FINCABLES,SMALL,nse_index,196.4,45.98
FSL,SMALL,nse_index,119.3,22.32
FIVESTAR,SMALL,nse_index,36.3,16.44
FORCEMOT,SMALL,nse_index,143.0,48.64
GABRIEL,SMALL,nse_index,73.4,20.49
GALLANTT,SMALL,nse_index,6.6,2.75
GRSE,SMALL,nse_index,108.6,37.45
GILLETTE,SMALL,nse_index,14.5,8.21
GLAND,SMALL,nse_index,200.6,84.56
GODIGIT,SMALL,nse_index,21.4,8.39
GPIL,SMALL,nse_index,40.8,18.78
GRANULES,SMALL,nse_index,87.5,46.47
GRAPHITE,SMALL,nse_index,203.5,45.85
GRAVITA,SMALL,nse_index,37.7,19.23
GESHIP,SMALL,nse_index,136.9,59.39
GMDCLTD,SMALL,nse_index,66.7,21.27
HEG,SMALL,nse_index,115.9,44.81
HBLENGINE,SMALL,nse_index,121.8,36.48
HFCL,SMALL,nse_index,363.5,195.34
HSCL,SMALL,nse_index,392.8,116.8
HINDCOPPER,SMALL,nse_index,638.1,215.53
HOMEFIRST,SMALL,nse_index,23.8,13.94
HONASA,SMALL,nse_index,65.8,24.99
IDBI,SMALL,nse_index,109.9,35.02
IFCI,SMALL,nse_index,666.3,109.77
